accession,lineage,scorpio_name
EPI_ISL_8790335,AY.4,Delta (AY.4-like)
EPI_ISL_16197553,BA.2,Omicron (BA.2-like)
EPI_ISL_15287586,BA.2,Omicron (BA.2-like)
EPI_ISL_16198086,BA.2,Omicron (BA.2-like)
EPI_ISL_16177585,BA.2.23,Omicron (BA.2-like)
EPI_ISL_14727636,BA.2.23,Omicron (BA.2-like)
EPI_ISL_13293106,BA.2.23,Omicron (BA.2-like)
EPI_ISL_16211769,BA.2,Omicron (BA.2-like)
EPI_ISL_15497557,BA.2,Omicron (BA.2-like)
EPI_ISL_12351604,BA.2,Omicron (BA.2-like)
EPI_ISL_15287604,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16195586,BA.2,Omicron (BA.2-like)
EPI_ISL_13716776,BA.2,Omicron (BA.2-like)
EPI_ISL_13332519,BA.2,Omicron (BA.2-like)
EPI_ISL_15498079,BA.2,Omicron (BA.2-like)
EPI_ISL_16240574,BA.2.3,Omicron (BA.2-like)
EPI_ISL_15156939,BA.2,Omicron (BA.2-like)
EPI_ISL_14729086,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197034,BA.1.1.1,Omicron (Unassigned)
EPI_ISL_12351700,BA.2,Omicron (BA.2-like)
EPI_ISL_15498252,BA.2,Omicron (BA.2-like)
EPI_ISL_11786057,BA.2.54,Omicron (BA.2-like)
EPI_ISL_16438608,BA.2.54,Omicron (BA.2-like)
EPI_ISL_15498654,BA.5.2,Omicron (BA.5-like)
EPI_ISL_16197373,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16239529,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211723,BA.2,Omicron (BA.2-like)
EPI_ISL_13301024,B,nan
EPI_ISL_12954495,B,nan
EPI_ISL_16239485,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_9084578,BA.1.17,Omicron (BA.1-like)
EPI_ISL_13292690,BA.2,Omicron (BA.2-like)
EPI_ISL_15498015,BA.2,Omicron (BA.2-like)
EPI_ISL_16197253,BA.2,Omicron (BA.2-like)
EPI_ISL_13292802,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16438558,BA.5.1,Omicron (BA.5-like)
EPI_ISL_12511488,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197368,BA.2,Omicron (BA.2-like)
EPI_ISL_16194540,BA.1.17,Omicron (BA.1-like)
EPI_ISL_14727626,BA.5.1.30,Omicron (BA.5-like)
EPI_ISL_16196144,BA.2,Omicron (BA.2-like)
EPI_ISL_13293017,BA.2,Omicron (BA.2-like)
EPI_ISL_15497562,BA.2,Omicron (BA.2-like)
EPI_ISL_14729478,BA.2.3.15,Omicron (BA.2-like)
EPI_ISL_16240526,BA.2,Omicron (BA.2-like)
EPI_ISL_15498550,BA.2,Omicron (BA.2-like)
EPI_ISL_15497934,BA.2,Omicron (BA.2-like)
EPI_ISL_16211697,BA.2,Omicron (BA.2-like)
EPI_ISL_15498648,BA.4,Omicron (BA.4-like)
EPI_ISL_13622934,BA.2.56,Omicron (BA.2-like)
EPI_ISL_9909500,BA.2,Omicron (BA.2-like)
EPI_ISL_10856751,BA.2,Omicron (BA.2-like)
EPI_ISL_14729007,BA.2,Omicron (BA.2-like)
EPI_ISL_12600732,BA.2,Omicron (BA.2-like)
EPI_ISL_12771760,BA.2,Omicron (BA.2-like)
EPI_ISL_15498073,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16195648,BA.1.17,Omicron (BA.1-like)
EPI_ISL_13209262,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16233009,BA.2,Omicron (BA.2-like)
EPI_ISL_11160319,BA.2,Omicron (BA.2-like)
EPI_ISL_13521578,BA.2,Omicron (BA.2-like)
EPI_ISL_16233237,BA.2,Omicron (BA.2-like)
EPI_ISL_12351916,BA.2.5,Omicron (BA.2-like)
EPI_ISL_15498313,BA.2,Omicron (BA.2-like)
EPI_ISL_14729323,BA.2,Omicron (BA.2-like)
EPI_ISL_10874770,AY.125,Delta (B.1.617.2-like)
EPI_ISL_13300999,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13029102,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197207,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13451961,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197933,BA.2,Omicron (BA.2-like)
EPI_ISL_10716857,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16239492,BA.2.56,Omicron (BA.2-like)
EPI_ISL_13293041,BA.2,Omicron (BA.2-like)
EPI_ISL_13292711,BA.2,Omicron (BA.2-like)
EPI_ISL_16211535,BA.2,Omicron (BA.2-like)
EPI_ISL_12351559,BA.2,Omicron (BA.2-like)
EPI_ISL_16240298,BA.2,Omicron (BA.2-like)
EPI_ISL_12351925,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_14727553,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_15497833,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16438584,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14727455,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16239505,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16645718,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16211349,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16197271,BA.2.3,Omicron (BA.2-like)
EPI_ISL_10856744,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292708,BA.2,Omicron (BA.2-like)
EPI_ISL_16197292,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16240453,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16232940,BA.2,Omicron (BA.2-like)
EPI_ISL_12351930,BA.2,Omicron (BA.2-like)
EPI_ISL_15498455,XAU,Omicron (BA.2-like)
EPI_ISL_15498586,BA.2,Omicron (BA.2-like)
EPI_ISL_16977736,BA.2,Omicron (BA.2-like)
EPI_ISL_16196818,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_14727531,BA.5.1.4,Omicron (BA.5-like)
EPI_ISL_16233039,BA.2,Omicron (BA.2-like)
EPI_ISL_15497572,BA.2,Omicron (BA.2-like)
EPI_ISL_16233317,BA.2,Omicron (BA.2-like)
EPI_ISL_13829453,BA.2,Omicron (BA.2-like)
EPI_ISL_14727580,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16232816,BA.2,Omicron (BA.2-like)
EPI_ISL_9909475,AY.43,Delta (B.1.617.2-like)
EPI_ISL_9909456,AY.34,Delta (B.1.617.2-like)
EPI_ISL_14729022,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_15498208,XAU,Omicron (BA.2-like)
EPI_ISL_16197371,BA.2,Omicron (BA.2-like)
EPI_ISL_16195692,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16196991,BA.2,Omicron (BA.2-like)
EPI_ISL_16240367,BA.2,Omicron (BA.2-like)
EPI_ISL_13293046,BA.2.23,Omicron (BA.2-like)
EPI_ISL_9974392,BA.2,Omicron (BA.2-like)
EPI_ISL_14727603,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14727583,BA.2,Omicron (BA.2-like)
EPI_ISL_16197762,BA.2,Omicron (BA.2-like)
EPI_ISL_14729203,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16196817,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16233301,BA.2,Omicron (BA.2-like)
EPI_ISL_16197237,BA.2,Omicron (BA.2-like)
EPI_ISL_13489845,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16197033,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15156821,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351833,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197575,BA.2,Omicron (BA.2-like)
EPI_ISL_15497470,BA.2,Omicron (BA.2-like)
EPI_ISL_16233109,BA.2,Omicron (BA.2-like)
EPI_ISL_16197858,BA.2,Omicron (BA.2-like)
EPI_ISL_13292688,BA.2,Omicron (BA.2-like)
EPI_ISL_16181172,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_13476951,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_13209259,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9467172,BA.2,Omicron (BA.2-like)
EPI_ISL_16438406,BA.2,Omicron (BA.2-like)
EPI_ISL_14727702,XAZ,Omicron (BA.5-like)
EPI_ISL_16211237,BA.2,Omicron (BA.2-like)
EPI_ISL_14729448,BA.2.56,Omicron (BA.2-like)
EPI_ISL_11925297,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16233062,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351597,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16439203,BA.2.56,Omicron (BA.2-like)
EPI_ISL_10856694,BA.2,Omicron (BA.2-like)
EPI_ISL_16211120,BA.2,Omicron (BA.2-like)
EPI_ISL_13292583,BA.2,Omicron (BA.2-like)
EPI_ISL_15498002,BA.2,Omicron (BA.2-like)
EPI_ISL_16239635,BA.2,Omicron (BA.2-like)
EPI_ISL_13292935,BA.2,Omicron (BA.2-like)
EPI_ISL_12687976,BA.2.9,Omicron (BA.2-like)
EPI_ISL_14727552,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16240266,BA.2.3,Omicron (BA.2-like)
EPI_ISL_14727703,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16239642,BA.2.36,Omicron (BA.2-like)
EPI_ISL_14326532,B.1.1.529,Omicron (Unassigned)
EPI_ISL_16239719,BA.2.3,Omicron (BA.2-like)
EPI_ISL_9084776,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211536,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16197172,BA.4,Omicron (BA.4-like)
EPI_ISL_16233123,BA.4,Omicron (BA.4-like)
EPI_ISL_16195687,BA.2,Omicron (BA.2-like)
EPI_ISL_12351800,BA.2,Omicron (BA.2-like)
EPI_ISL_16212031,BA.2,Omicron (BA.2-like)
EPI_ISL_16211110,BA.2,Omicron (BA.2-like)
EPI_ISL_16196223,BA.2,Omicron (BA.2-like)
EPI_ISL_15497579,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16212078,BA.2.3,Omicron (BA.2-like)
EPI_ISL_8553242,AY.4,Delta (AY.4-like)
EPI_ISL_9909493,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211884,BA.2,Omicron (BA.2-like)
EPI_ISL_16211111,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16211901,AY.4.2.3,Delta (AY.4.2-like)
EPI_ISL_9084768,AY.4.2.3,Delta (AY.4.2-like)
EPI_ISL_16438749,BA.2,Omicron (BA.2-like)
EPI_ISL_16239650,BA.2,Omicron (BA.2-like)
EPI_ISL_14728952,BA.2,Omicron (BA.2-like)
EPI_ISL_15497384,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498452,BA.2.9.6,Omicron (BA.2-like)
EPI_ISL_16196027,BA.1.1,Omicron (BA.1-like)
EPI_ISL_9703914,AY.4,Delta (AY.4-like)
EPI_ISL_12325118,AY.4,Delta (AY.4-like)
EPI_ISL_15497837,BA.2,Omicron (BA.2-like)
EPI_ISL_14729386,BA.2,Omicron (BA.2-like)
EPI_ISL_16195393,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498507,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16239513,BA.2,Omicron (BA.2-like)
EPI_ISL_15030348,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14356513,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16195545,BA.1.1,Omicron (BA.1-like)
EPI_ISL_12351695,BA.2,Omicron (BA.2-like)
EPI_ISL_12351543,BA.2,Omicron (BA.2-like)
EPI_ISL_15497133,BA.2,Omicron (BA.2-like)
EPI_ISL_13292873,BA.2,Omicron (BA.2-like)
EPI_ISL_9909472,AY.43,Delta (B.1.617.2-like)
EPI_ISL_8790353,AY.4,Delta (AY.4-like)
EPI_ISL_16211056,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13209270,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_15030406,BA.2.3,Omicron (BA.2-like)
EPI_ISL_12351599,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16211730,BA.2,Omicron (BA.2-like)
EPI_ISL_16240371,BA.2,Omicron (BA.2-like)
EPI_ISL_14729380,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211714,BA.2,Omicron (BA.2-like)
EPI_ISL_13292552,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16240461,BA.2.56,Omicron (BA.2-like)
EPI_ISL_14729017,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729191,AY.33.2,Delta (B.1.617.2-like)
EPI_ISL_13638551,AY.33.2,Delta (B.1.617.2-like)
EPI_ISL_10856887,BA.1.1.15,Omicron (BA.1-like)
EPI_ISL_16196902,BA.1.1.15,Omicron (BA.1-like)
EPI_ISL_16196085,BA.1.1,Omicron (BA.1-like)
EPI_ISL_15030343,BA.5.1.3,Omicron (BA.5-like)
EPI_ISL_8894158,AY.4,Delta (AY.4-like)
EPI_ISL_8790469,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16233331,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729320,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729102,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15497456,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197319,BA.2.5,Omicron (BA.2-like)
EPI_ISL_14729264,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16195995,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16977485,BA.2,Omicron (BA.2-like)
EPI_ISL_9396170,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211061,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16240624,BA.2,Omicron (BA.2-like)
EPI_ISL_16233424,BA.2,Omicron (BA.2-like)
EPI_ISL_14729260,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_16211086,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12249629,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13300909,BA.2.3.15,Omicron (BA.2-like)
EPI_ISL_13292710,BA.2,Omicron (BA.2-like)
EPI_ISL_16197588,BA.2,Omicron (BA.2-like)
EPI_ISL_16197245,BA.2,Omicron (BA.2-like)
EPI_ISL_16197463,BA.2,Omicron (BA.2-like)
EPI_ISL_16212028,BA.2,Omicron (BA.2-like)
EPI_ISL_16197851,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16471319,BA.2,Omicron (BA.2-like)
EPI_ISL_13292804,BA.2,Omicron (BA.2-like)
EPI_ISL_12351938,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_12829129,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_15498216,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16195689,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16197195,BA.2,Omicron (BA.2-like)
EPI_ISL_11933218,BA.2,Omicron (BA.2-like)
EPI_ISL_13638545,BA.2,Omicron (BA.2-like)
EPI_ISL_9909484,AY.124,Delta (B.1.617.2-like)
EPI_ISL_16196969,BA.2.18,Omicron (BA.2-like)
EPI_ISL_16211930,BA.2.18,Omicron (BA.2-like)
EPI_ISL_16240565,BA.2.18,Omicron (BA.2-like)
EPI_ISL_15498383,BA.2,Omicron (BA.2-like)
EPI_ISL_15498573,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16233412,BA.2.3.5,Omicron (BA.2-like)
EPI_ISL_16233066,BA.2.36,Omicron (BA.2-like)
EPI_ISL_12918778,BA.2.51,Omicron (BA.2-like)
EPI_ISL_13501220,BA.2,Omicron (BA.2-like)
EPI_ISL_16232858,BA.2,Omicron (BA.2-like)
EPI_ISL_13292748,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197736,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15156841,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197778,BA.2,Omicron (BA.2-like)
EPI_ISL_15498358,BA.2,Omicron (BA.2-like)
EPI_ISL_13292671,BA.2,Omicron (BA.2-like)
EPI_ISL_16439023,BA.2.56,Omicron (BA.2-like)
EPI_ISL_15498116,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292884,BA.2,Omicron (BA.2-like)
EPI_ISL_15498072,BA.2,Omicron (BA.2-like)
EPI_ISL_16438773,BA.2.18,Omicron (BA.2-like)
EPI_ISL_12249628,BA.2.3,Omicron (BA.2-like)
EPI_ISL_14496065,BA.2,Omicron (Unassigned)
EPI_ISL_13476960,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16877827,BA.4,Omicron (BA.4-like)
EPI_ISL_16438588,BA.4,Omicron (BA.4-like)
EPI_ISL_16211355,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16211507,BA.2,Omicron (BA.2-like)
EPI_ISL_12351780,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15030418,BA.2,Omicron (BA.2-like)
EPI_ISL_13209266,BA.2,Omicron (BA.2-like)
EPI_ISL_16195688,BA.2,Omicron (BA.2-like)
EPI_ISL_14729177,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_16439201,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_13829449,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16438507,BA.2,Omicron (BA.2-like)
EPI_ISL_9909473,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211024,BA.2,Omicron (BA.2-like)
EPI_ISL_14729184,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15496995,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729136,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16240273,BA.5.1,Omicron (BA.5-like)
EPI_ISL_12351613,BA.2,Omicron (BA.2-like)
EPI_ISL_16195956,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_15498065,BA.2,Omicron (BA.2-like)
EPI_ISL_15498022,BA.2,Omicron (BA.2-like)
EPI_ISL_12351639,BA.2.5,Omicron (BA.2-like)
EPI_ISL_15497955,BE.1.1,Omicron (BA.5-like)
EPI_ISL_14729162,BE.1.1,Omicron (BA.5-like)
EPI_ISL_12130741,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16240489,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351794,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498163,XAU,Omicron (BA.2-like)
EPI_ISL_16438754,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16195587,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_14727833,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16195605,BA.1.17,Omicron (BA.1-like)
EPI_ISL_12351669,BA.2.3,Omicron (BA.2-like)
