accession,lineage
EPI_ISL_12134311,BA.2
EPI_ISL_13713446,BA.2.18
EPI_ISL_11580274,BA.1.1.1
EPI_ISL_11580073,AY.98.1
EPI_ISL_11563324,BA.2
EPI_ISL_13085046,BA.2
EPI_ISL_12442311,BA.2
EPI_ISL_11563525,BA.2
EPI_ISL_10717878,AY.9.2
EPI_ISL_11563330,BA.2
EPI_ISL_13271383,BA.2
EPI_ISL_12709303,BA.2
EPI_ISL_12441794,BA.2
EPI_ISL_13616823,B.1.617.2
EPI_ISL_9597173,B.1.617.2
EPI_ISL_12152828,BA.2
EPI_ISL_12995560,BA.2
EPI_ISL_11557238,BA.1.1
EPI_ISL_11564600,BA.1.1
EPI_ISL_12995567,BA.2
EPI_ISL_12587130,BA.2.9.3
EPI_ISL_12512805,BA.1.1.1
EPI_ISL_11564540,BA.1.1.1
EPI_ISL_10134346,BA.2
EPI_ISL_11564585,BA.2
EPI_ISL_9178360,AY.42
EPI_ISL_13444626,BA.2.12.1
EPI_ISL_12641894,BA.2
EPI_ISL_13084961,BA.2
EPI_ISL_11504672,AY.43
EPI_ISL_12421899,BA.2
EPI_ISL_13084948,BA.2
EPI_ISL_11563398,BA.2
EPI_ISL_13514306,AY.43
EPI_ISL_12254181,BA.2
EPI_ISL_13085860,BA.2
EPI_ISL_12412772,BA.2
EPI_ISL_12051219,BA.2
EPI_ISL_13085500,BA.2
EPI_ISL_11273554,BA.2
EPI_ISL_13084883,BA.2
EPI_ISL_12254354,BA.2
EPI_ISL_9426059,BA.2
EPI_ISL_11279012,BA.2
EPI_ISL_9974041,BA.2
EPI_ISL_11023706,BA.2
EPI_ISL_9002738,AY.127
EPI_ISL_11998114,BA.2
EPI_ISL_12065001,BA.2.3
EPI_ISL_9599029,AY.122
EPI_ISL_11868333,AY.122
EPI_ISL_11580447,AY.43
EPI_ISL_12709218,BA.2.36
EPI_ISL_15269064,BA.2.36
EPI_ISL_13376020,BA.2
EPI_ISL_13085229,BA.2
EPI_ISL_10312296,BA.2
EPI_ISL_13376046,BA.2
EPI_ISL_11279011,BA.2
EPI_ISL_15019180,BA.1
EPI_ISL_12051375,BA.1
EPI_ISL_11351312,AY.122
EPI_ISL_9599690,AY.43
EPI_ISL_9155821,AY.43
EPI_ISL_10769772,BA.2
EPI_ISL_12065036,BA.2
EPI_ISL_11563363,BA.2
EPI_ISL_11564562,BA.2
EPI_ISL_10058429,BA.2
EPI_ISL_9602913,BA.2
EPI_ISL_11840933,BA.2
EPI_ISL_12064968,BA.2
EPI_ISL_12201289,AY.98.1
EPI_ISL_12412571,BA.2
EPI_ISL_13085966,BA.2
EPI_ISL_12709692,BA.2
EPI_ISL_10071279,AY.4
EPI_ISL_13957025,BA.2
EPI_ISL_13085370,BA.2
EPI_ISL_10073583,BA.2
EPI_ISL_13085385,BA.2
EPI_ISL_13773356,BA.2.9
EPI_ISL_14320992,BA.2.9
EPI_ISL_12133912,BA.1.1.1
EPI_ISL_13085022,BA.2
EPI_ISL_12152796,BA.2
EPI_ISL_13084982,BA.2
EPI_ISL_12029277,BA.2
EPI_ISL_12412630,BA.2.9
EPI_ISL_10098877,AY.43
EPI_ISL_14320819,BA.2.9.3
EPI_ISL_13086378,BA.2.9.3
EPI_ISL_13085208,BA.2
EPI_ISL_12152848,BA.2
EPI_ISL_13086157,AY.4.2.3
EPI_ISL_9612275,AY.4.2.3
EPI_ISL_11579796,BA.1.15
EPI_ISL_12029561,BA.2.9
EPI_ISL_9704071,BA.1.18
EPI_ISL_12259604,BA.2.6
EPI_ISL_9388290,BA.2
EPI_ISL_9156016,BA.2
EPI_ISL_11916202,BA.2.14
EPI_ISL_12005964,BA.2.14
EPI_ISL_12712724,BA.2
EPI_ISL_10314504,BA.2
EPI_ISL_11579874,BA.2
EPI_ISL_13444615,AY.43
EPI_ISL_12219250,AY.43
EPI_ISL_13271387,BA.1.18
EPI_ISL_13177615,BA.1.18
EPI_ISL_11564599,BA.1.18
EPI_ISL_9879528,B.1.617.2
EPI_ISL_9520149,AY.43
EPI_ISL_13085037,BA.2
EPI_ISL_11563387,BA.5.1
EPI_ISL_13446941,BA.5.1
EPI_ISL_11840907,BA.2
EPI_ISL_11567846,BA.2
EPI_ISL_11998112,BA.2
EPI_ISL_13085653,BA.2.9
EPI_ISL_11994239,BA.2
EPI_ISL_13084935,BA.2
EPI_ISL_11079906,BA.2
EPI_ISL_11566768,BA.2
EPI_ISL_11814067,B
EPI_ISL_13618686,B
EPI_ISL_10099936,AY.43
EPI_ISL_9178365,AY.122
EPI_ISL_13300451,BA.1.1
EPI_ISL_9750863,BA.1.1
EPI_ISL_10021320,BA.2
EPI_ISL_11564942,BA.2
EPI_ISL_12442277,BA.2
EPI_ISL_9429120,BA.2.12.1
EPI_ISL_13578640,AY.92
EPI_ISL_9598782,AY.92
EPI_ISL_12249440,BA.2.12.1
EPI_ISL_12259589,BA.2.12.1
EPI_ISL_13847397,BA.2.12.1
EPI_ISL_12065032,BA.2
EPI_ISL_11579919,BA.2
EPI_ISL_13177324,BA.2
EPI_ISL_13262881,BA.2
EPI_ISL_11139406,BA.2
EPI_ISL_11994644,AY.43
EPI_ISL_13514037,BA.2
EPI_ISL_12249441,BA.2
EPI_ISL_11563562,BA.2
EPI_ISL_13177623,AY.5.4
EPI_ISL_8804812,AY.5.4
EPI_ISL_13177316,BA.2
EPI_ISL_9601385,AY.98.1
EPI_ISL_12259605,BA.2
EPI_ISL_11372371,BA.2
EPI_ISL_12152866,BA.2
EPI_ISL_14320956,BA.2
EPI_ISL_11871081,BA.2
EPI_ISL_13085281,BA.2
EPI_ISL_11273517,B.1.617.2
EPI_ISL_8812686,B.1.617.2
EPI_ISL_12658268,BA.2
EPI_ISL_11586179,BA.2
EPI_ISL_13086252,BA.2
EPI_ISL_11564566,BA.1.1
EPI_ISL_10073589,BA.2
EPI_ISL_11579883,BA.2
EPI_ISL_12996098,BA.2
EPI_ISL_9613645,AY.43
EPI_ISL_13714514,BA.2.5
EPI_ISL_13085130,BA.2.5
EPI_ISL_11278998,BA.2
EPI_ISL_9750921,XD
EPI_ISL_12208370,XD
EPI_ISL_9319371,AY.4.2
EPI_ISL_9862453,AY.122
EPI_ISL_11273560,AY.122
EPI_ISL_8833247,AY.9.2
EPI_ISL_9320911,AY.43
EPI_ISL_12322462,AY.43
EPI_ISL_12709640,AY.122.6
EPI_ISL_9525069,AY.122.6
EPI_ISL_12322456,BA.2
EPI_ISL_13086212,BA.2
EPI_ISL_12259601,BA.2
EPI_ISL_12254910,AY.4
EPI_ISL_12641889,BA.2
EPI_ISL_11372206,BA.2
EPI_ISL_12322474,BA.2
EPI_ISL_12441754,BA.2
EPI_ISL_12152801,BA.2
EPI_ISL_9750866,BA.2
EPI_ISL_8869083,AY.43
EPI_ISL_12152826,BA.2
EPI_ISL_12995633,BA.2
EPI_ISL_11994245,BA.2
EPI_ISL_12322452,BA.2
EPI_ISL_10967993,BA.1.1.1
EPI_ISL_12751859,BA.2
EPI_ISL_13085090,BA.2
EPI_ISL_10888232,BA.2.10
EPI_ISL_11372080,AY.43
EPI_ISL_13085035,BA.2.58
EPI_ISL_10187162,AY.43
EPI_ISL_9598366,AY.43
EPI_ISL_11564583,BA.1.1.1
EPI_ISL_13086414,BA.1.1.1
EPI_ISL_11108812,AY.4.2
EPI_ISL_10352394,BA.1.1.1
EPI_ISL_13713660,BA.2
EPI_ISL_9602922,BA.1.18
EPI_ISL_12065014,BA.2
EPI_ISL_9388343,BA.2
EPI_ISL_12709338,BA.2
EPI_ISL_11279021,BA.2
EPI_ISL_12442274,BA.2
EPI_ISL_11278968,BA.2
EPI_ISL_11223707,BA.2
EPI_ISL_12259586,BA.2
EPI_ISL_12398154,BA.2
EPI_ISL_11273520,BA.2
EPI_ISL_13086204,BA.2
EPI_ISL_12442304,BA.2
EPI_ISL_9750791,BA.1.19
EPI_ISL_9016038,AY.123
EPI_ISL_13714472,BA.2
EPI_ISL_11370625,BA.2
EPI_ISL_10021323,BA.1.1
EPI_ISL_13253697,BA.2.40.1
EPI_ISL_11560260,BA.2
EPI_ISL_12441808,BA.2
EPI_ISL_9426486,AY.43
EPI_ISL_9319392,AY.43
EPI_ISL_9319542,AY.4.2
EPI_ISL_10312938,BA.2.9
EPI_ISL_13085173,BA.2.9
EPI_ISL_11563321,BA.1.1
EPI_ISL_12219200,AY.43
EPI_ISL_13714093,BA.2
EPI_ISL_13085720,BA.2
EPI_ISL_13578630,BA.5.2.1
EPI_ISL_12580004,BA.2.9.4
EPI_ISL_10071332,BA.1.1.1
EPI_ISL_13444633,BA.1.18
EPI_ISL_11564573,BA.1.18
EPI_ISL_10071335,BA.1.1
EPI_ISL_13714050,BA.2.12.1
EPI_ISL_9704063,BA.1.18
EPI_ISL_11867941,BA.2
EPI_ISL_12995469,BA.2
EPI_ISL_12452176,BA.2
EPI_ISL_9036595,AY.122
EPI_ISL_12996052,BA.2
EPI_ISL_12641760,BA.2
EPI_ISL_12254225,AY.122
EPI_ISL_13616857,BA.2
EPI_ISL_12641896,BA.2
EPI_ISL_10947821,AY.43.4
EPI_ISL_9315014,AY.43.4
EPI_ISL_12178857,AY.43
EPI_ISL_10099522,AY.43
EPI_ISL_13444906,BA.5.1
EPI_ISL_13262929,BA.2
EPI_ISL_9257735,BA.2
EPI_ISL_11814083,BA.2
EPI_ISL_11564595,BA.1.1.1
EPI_ISL_9229985,AY.92
EPI_ISL_13430749,B.1.1.529
EPI_ISL_11037023,B.1.1.529
EPI_ISL_12587159,BA.2
EPI_ISL_13514492,BA.2.12.1
EPI_ISL_13514420,BA.2.12.1
EPI_ISL_13086164,BA.2.10
EPI_ISL_11781196,BA.2.9
EPI_ISL_11566741,BA.2
EPI_ISL_12065005,BA.1.18
EPI_ISL_13618421,BA.5.2.1
EPI_ISL_9704062,BA.1.18
EPI_ISL_12709529,BA.2
EPI_ISL_11567833,BA.2
EPI_ISL_12412742,BA.2
EPI_ISL_12157409,BA.2
EPI_ISL_12156057,BA.2
EPI_ISL_11794349,AY.43
EPI_ISL_9791237,AY.43
EPI_ISL_12587182,BA.2
EPI_ISL_12248917,BA.2
EPI_ISL_13085312,BA.2.9.3
EPI_ISL_12717894,BA.2
EPI_ISL_13084922,BA.2
EPI_ISL_9597675,AY.4
EPI_ISL_11372133,AY.9.2
EPI_ISL_9704074,BA.1.17.2
EPI_ISL_12152862,BA.2
EPI_ISL_12119841,BA.2
EPI_ISL_12065007,BA.2
EPI_ISL_13086358,BA.2
EPI_ISL_8812819,AY.43
EPI_ISL_10098882,AY.5
EPI_ISL_9425865,BA.2
EPI_ISL_13958917,BA.2
EPI_ISL_9315798,AY.98.1
EPI_ISL_9598234,AY.98.1
EPI_ISL_10314492,BA.2
EPI_ISL_13713399,BA.2
EPI_ISL_11579953,BA.2
EPI_ISL_9015962,BA.2
EPI_ISL_12156079,BA.2
EPI_ISL_9470066,BA.1.1.1
EPI_ISL_11567863,BA.1.1.1
EPI_ISL_11372202,BA.1.1.1
EPI_ISL_12441748,AY.43
EPI_ISL_9425852,AY.43
EPI_ISL_13514714,BA.2
EPI_ISL_13069780,BA.2
EPI_ISL_13955706,AY.122
EPI_ISL_9602942,AY.122
EPI_ISL_9796503,AY.122
EPI_ISL_8869073,AY.43.9
EPI_ISL_13084841,BA.2
EPI_ISL_9156147,AY.43
EPI_ISL_13262872,BA.2.35
EPI_ISL_11037026,BA.1.18
EPI_ISL_12587180,AY.125
EPI_ISL_11506833,AY.125
EPI_ISL_13515018,BA.2.56
EPI_ISL_11994263,BA.2
EPI_ISL_12995866,BA.2
EPI_ISL_12709367,BA.2
EPI_ISL_11567874,BA.2
EPI_ISL_11372265,BA.2.12.1
EPI_ISL_13444703,BA.2.12.1
EPI_ISL_13514721,BA.2.12.1
EPI_ISL_12753560,BA.2
EPI_ISL_9428321,BA.2
EPI_ISL_13085627,BA.2.14
EPI_ISL_12442297,BA.2.14
EPI_ISL_14320994,BA.2.40.1
EPI_ISL_10097726,BA.2.18
EPI_ISL_13514712,BA.2
EPI_ISL_12069447,BA.2
EPI_ISL_13086075,BA.2
EPI_ISL_12442269,BA.2
EPI_ISL_12709651,BA.2
EPI_ISL_12579829,BA.2
EPI_ISL_13085368,BA.2.36
EPI_ISL_13375992,BA.2.36
EPI_ISL_12005951,BA.2
EPI_ISL_12029582,BA.2
EPI_ISL_9797735,AY.4
EPI_ISL_14179442,AY.4
EPI_ISL_9428428,AY.4
EPI_ISL_11372277,B.1.617.2
EPI_ISL_11566715,BA.2
EPI_ISL_11867952,BA.2.9
EPI_ISL_11328234,BA.2.3
EPI_ISL_10021325,BA.1.18
EPI_ISL_9178367,B.1.640.2
EPI_ISL_12755713,BA.2
EPI_ISL_11273553,BA.2
EPI_ISL_13177317,BA.2
EPI_ISL_10007031,BA.1.1
EPI_ISL_12280196,BA.2.6
EPI_ISL_12005939,BA.2
EPI_ISL_10021308,BA.1.1
EPI_ISL_8929436,AY.126
EPI_ISL_8869447,BA.2.56
EPI_ISL_13444672,BA.2.56
EPI_ISL_13085716,BA.2
EPI_ISL_12064979,BA.1
EPI_ISL_9470043,BA.1.1
EPI_ISL_12512746,BA.5.1.35
EPI_ISL_10352326,BA.5.1.35
EPI_ISL_13773373,BA.5.1.35
EPI_ISL_13957022,BA.2
EPI_ISL_13375958,BA.2
EPI_ISL_9256848,BA.1.1
EPI_ISL_11563327,BA.2
EPI_ISL_9602945,BA.1.1.1
EPI_ISL_13959214,BA.2.36
EPI_ISL_13010943,BA.2
EPI_ISL_12441797,BA.2
EPI_ISL_13085017,BA.2
EPI_ISL_12580016,BA.2
EPI_ISL_10776915,B.1.617.2
EPI_ISL_12029566,BA.2.12
EPI_ISL_12005994,BA.2
EPI_ISL_9862460,BA.1.18
EPI_ISL_11080407,BA.1.18
EPI_ISL_11564547,BA.1.18
EPI_ISL_11586326,BA.1.1
EPI_ISL_10021309,BA.1.1
EPI_ISL_13086249,BA.2
EPI_ISL_11814233,BA.2
EPI_ISL_13375957,BA.2
EPI_ISL_11372236,BA.2
EPI_ISL_12322453,BA.2
EPI_ISL_10071299,BA.2
EPI_ISL_12248936,BA.2
EPI_ISL_11995581,BA.2
EPI_ISL_13085290,BA.2.49
EPI_ISL_11580330,BA.1.18
EPI_ISL_11273523,BA.2
EPI_ISL_11564569,BA.2
EPI_ISL_13578645,BA.2
EPI_ISL_11579956,BA.2
EPI_ISL_8931814,AY.43
EPI_ISL_9602934,BA.1.1
EPI_ISL_9602935,BA.1.1
EPI_ISL_12155532,BA.2
EPI_ISL_12029496,BA.2
EPI_ISL_11560263,BA.2
EPI_ISL_12285208,BA.2
EPI_ISL_12465602,BA.2
EPI_ISL_12709357,BA.2.3
EPI_ISL_9750816,BA.2.3
EPI_ISL_8847194,AY.34
EPI_ISL_9602877,AY.127
EPI_ISL_11498013,BA.1.1
EPI_ISL_9320858,BA.2
EPI_ISL_11995578,BA.2
EPI_ISL_12152822,BA.2
EPI_ISL_9229987,BA.2
EPI_ISL_12065013,BA.2
EPI_ISL_12254297,BA.2.10
EPI_ISL_13183296,BA.2.10
EPI_ISL_13271407,BA.2.9
EPI_ISL_13084998,BA.2
EPI_ISL_12441771,BA.2
EPI_ISL_13376108,BA.2
EPI_ISL_11840884,BA.2
EPI_ISL_13271390,BA.2.12.1
EPI_ISL_9156136,BA.2.6
EPI_ISL_11278999,BA.2.6
EPI_ISL_9916215,AY.98.1
EPI_ISL_12641911,BA.2
EPI_ISL_13295474,BA.2
EPI_ISL_11840904,BA.2
EPI_ISL_14320928,BA.2
EPI_ISL_11563514,BA.2
EPI_ISL_11998223,BA.2
EPI_ISL_13085572,BA.2
EPI_ISL_9879527,AY.43
EPI_ISL_10073588,BA.2
EPI_ISL_13842743,BE.1.1
EPI_ISL_13084876,BA.2.3
EPI_ISL_13086356,BA.2.3
EPI_ISL_9388352,AY.126
EPI_ISL_11564577,BA.1.1
EPI_ISL_9597315,AY.98.1
EPI_ISL_9470035,BA.1.18
EPI_ISL_13085033,BA.2
EPI_ISL_11564544,BA.1.1
EPI_ISL_11278988,BA.2.6
EPI_ISL_13085415,BA.2.18
EPI_ISL_12587177,BA.2.18
EPI_ISL_13958912,BA.2.18
EPI_ISL_12579884,BA.2
EPI_ISL_11446510,BA.1.1
EPI_ISL_9245689,AY.43
EPI_ISL_12996066,BA.1
EPI_ISL_16467441,BA.1
EPI_ISL_11370434,BA.2
EPI_ISL_12812136,BA.2
EPI_ISL_9016143,BA.2
EPI_ISL_13086248,BA.2
EPI_ISL_9704073,BA.1.17
EPI_ISL_11841744,BA.2
EPI_ISL_11566725,BA.2
EPI_ISL_12179606,BA.1.1.1
EPI_ISL_11563492,BA.2
EPI_ISL_12442327,BA.2
EPI_ISL_12709667,BA.2
EPI_ISL_12322475,BA.2
EPI_ISL_8782440,AY.43
EPI_ISL_12709231,BA.2
EPI_ISL_9750868,BA.2
EPI_ISL_13086175,BA.2.6
EPI_ISL_14320890,BA.2.12.1
EPI_ISL_9750806,BA.1.1
EPI_ISL_11579856,BA.1.1
EPI_ISL_12995475,BA.2
EPI_ISL_13614066,BA.2.12.1
EPI_ISL_8811876,AY.122
EPI_ISL_9314943,AY.43
EPI_ISL_9428343,AY.43
EPI_ISL_12442317,BA.2
EPI_ISL_12369466,BA.2
EPI_ISL_10717745,AY.34
EPI_ISL_13842756,BA.2.44
EPI_ISL_11563389,BA.2
EPI_ISL_12259107,BA.2
EPI_ISL_12270595,BA.2
EPI_ISL_12152818,BA.2
EPI_ISL_12269277,BA.2
EPI_ISL_13714508,BA.2.18
EPI_ISL_13842163,BA.2.18
EPI_ISL_10717671,AY.43
EPI_ISL_12249447,BA.2
EPI_ISL_13085474,BA.2
EPI_ISL_13085663,BA.2.9.3
EPI_ISL_13515034,BA.2.9.3
EPI_ISL_9597987,AY.122
EPI_ISL_13884380,BA.2
EPI_ISL_12152782,BA.2.9
EPI_ISL_9602933,BA.1
EPI_ISL_12753597,BA.2
EPI_ISL_12005949,BA.2
EPI_ISL_11840903,BA.5.1
EPI_ISL_13842783,BA.5.1
EPI_ISL_12005978,BA.2
EPI_ISL_13842720,BA.5.1
EPI_ISL_11278996,BA.2
EPI_ISL_9257736,BA.1
EPI_ISL_11994229,BA.2.3
EPI_ISL_9520085,AY.43
EPI_ISL_10362865,AY.122
EPI_ISL_11560290,BA.2
EPI_ISL_8463033,AY.4.2
EPI_ISL_12637386,BA.2
EPI_ISL_9750814,BA.2
EPI_ISL_11273529,BA.2.3
EPI_ISL_12637649,XE
EPI_ISL_13714505,BA.5.2
EPI_ISL_12215521,B.1.617.2
EPI_ISL_9973991,AY.43
EPI_ISL_13517298,AY.43
EPI_ISL_11223453,BA.1.18
EPI_ISL_11564601,BA.1.1.1
EPI_ISL_13714521,BA.5.2.1
EPI_ISL_13253700,BA.2.11
EPI_ISL_12065057,BA.2
EPI_ISL_12065050,BA.2
EPI_ISL_10134352,BA.2
EPI_ISL_11563502,BA.2
EPI_ISL_13086053,BA.2
EPI_ISL_13085781,BA.2
EPI_ISL_8810944,AY.4.2
EPI_ISL_13085621,BA.2
EPI_ISL_12257327,AY.122.6
EPI_ISL_11566722,BA.2
EPI_ISL_13084979,BA.2
EPI_ISL_13086240,BA.2
EPI_ISL_11994250,AY.9.2
EPI_ISL_9879526,AY.9.2
EPI_ISL_13514021,BA.2
EPI_ISL_13177614,BA.2
EPI_ISL_13085554,BA.2
EPI_ISL_13300442,BA.2.11
EPI_ISL_13954907,BA.2.11
EPI_ISL_13271265,AY.124
EPI_ISL_11504601,AY.124
EPI_ISL_12254350,AY.43
EPI_ISL_10888268,AY.43
EPI_ISL_11278963,BA.1.1
EPI_ISL_9602920,BA.1.18
EPI_ISL_12579851,BA.2
EPI_ISL_13085282,BA.2
EPI_ISL_11563533,BA.1.1.1
EPI_ISL_13068678,BA.2
EPI_ISL_8833248,BA.2
EPI_ISL_11560289,BA.2
EPI_ISL_11840908,BA.2
EPI_ISL_11567842,BA.2
EPI_ISL_12648135,BA.2.11
EPI_ISL_12322408,BA.2.11
EPI_ISL_9155975,AY.127
EPI_ISL_9750818,BA.2
EPI_ISL_12251241,BA.2
EPI_ISL_8673238,AY.4.2
EPI_ISL_11994261,BA.2
EPI_ISL_13086441,BA.2.49
EPI_ISL_11279023,BA.2.49
EPI_ISL_13376160,BA.2
EPI_ISL_13085285,BA.2
EPI_ISL_12133931,BA.2
EPI_ISL_12442318,BA.2
EPI_ISL_9916187,B.1.617.2
EPI_ISL_13085284,BA.2.9
EPI_ISL_9879441,BA.2.11
EPI_ISL_12322407,BA.2
EPI_ISL_12249443,BA.2
EPI_ISL_13253739,BA.2.11
EPI_ISL_8869439,BA.1.18
EPI_ISL_11564541,BA.1.18
EPI_ISL_12322402,BA.2.9
EPI_ISL_9257732,BA.1.1
EPI_ISL_9416052,AY.4
EPI_ISL_9002740,AY.127
EPI_ISL_11372177,BA.1.1.1
EPI_ISL_11023705,BA.2
EPI_ISL_11580903,AY.43.8
EPI_ISL_11814205,BA.2.9.3
EPI_ISL_13514529,BA.2.9.3
EPI_ISL_12855536,BA.2.9.4
EPI_ISL_13085555,BA.2
EPI_ISL_13085080,BA.2
EPI_ISL_13085387,BA.2.9
EPI_ISL_12285212,BA.2.9
EPI_ISL_14320850,BA.2.9
EPI_ISL_11248299,AY.122
EPI_ISL_12005973,BA.2
EPI_ISL_11563336,BA.2
EPI_ISL_13086122,AY.4
EPI_ISL_9388339,AY.4
EPI_ISL_13085296,BA.2
EPI_ISL_12812134,BA.2
EPI_ISL_13714464,BA.2.12.1
EPI_ISL_13086138,BA.2.9.3
EPI_ISL_12587116,BA.2.9.3
EPI_ISL_12580012,BA.2
EPI_ISL_13010942,BA.2
EPI_ISL_9036429,AY.43
EPI_ISL_13296658,BA.2
EPI_ISL_13086225,BA.2
EPI_ISL_9002739,BA.2.9.3
EPI_ISL_13578709,BA.2.9.3
EPI_ISL_13086377,BA.2
EPI_ISL_13271425,BA.2.36
EPI_ISL_12709324,BA.2
EPI_ISL_8811886,AY.43
EPI_ISL_9388320,AY.125
EPI_ISL_10098083,BA.2
EPI_ISL_12587174,BA.2
EPI_ISL_12995626,BA.2.9
EPI_ISL_9704057,BA.1.18
EPI_ISL_11563451,BA.2
EPI_ISL_9601728,AY.43
EPI_ISL_9704056,BA.1.1.1
EPI_ISL_12412812,BA.2
EPI_ISL_9600044,BA.2
EPI_ISL_13086171,BA.2
EPI_ISL_13714004,BA.2
EPI_ISL_11343984,AY.43
EPI_ISL_9316604,AY.127
EPI_ISL_12248920,BA.2
EPI_ISL_11564574,BA.1.1
EPI_ISL_11564580,BA.1
EPI_ISL_11840864,BA.2.9
EPI_ISL_13267244,B.1.617.2
EPI_ISL_9612304,B.1.617.2
EPI_ISL_12641858,BA.2.63
EPI_ISL_12285250,BA.2
EPI_ISL_13086242,BA.2
EPI_ISL_13957032,BA.5.3.3
EPI_ISL_12836160,BA.2.9
EPI_ISL_12442278,BA.2
EPI_ISL_12412754,BA.2.3
EPI_ISL_13086116,BA.2.3
EPI_ISL_12005976,BA.2
EPI_ISL_13085913,BA.2
EPI_ISL_15332908,BA.2
EPI_ISL_13085140,BA.2
EPI_ISL_11563337,BA.2
EPI_ISL_9602936,BA.1.1.1
EPI_ISL_11579848,BA.2.9.4
EPI_ISL_12248889,BA.2.9.4
EPI_ISL_13271411,BA.2
EPI_ISL_10888235,BA.2
EPI_ISL_13267324,BA.2.12.1
EPI_ISL_13086083,BA.2.9.3
EPI_ISL_13446977,BA.2
EPI_ISL_12152860,BA.2
EPI_ISL_12637670,BA.2.9
EPI_ISL_11370558,BA.2
EPI_ISL_11560283,BA.2.3
EPI_ISL_12029559,BA.2
EPI_ISL_13376109,BA.2.9.3
EPI_ISL_13444695,BA.2.12.1
EPI_ISL_13713715,BA.2.12.1
EPI_ISL_13514493,BA.2
EPI_ISL_12156054,BA.2
EPI_ISL_13085165,BA.2.9
EPI_ISL_9750862,BA.1.13
EPI_ISL_12029504,BA.2
EPI_ISL_11840858,AY.9.2
EPI_ISL_13085347,BA.2
EPI_ISL_11811297,BA.2
EPI_ISL_9388306,BA.2.48
EPI_ISL_9797764,BA.2.48
EPI_ISL_15332906,BA.2.48
EPI_ISL_11372287,AY.125
EPI_ISL_12457378,BA.2
EPI_ISL_12587192,BA.2
EPI_ISL_11563483,BA.2
EPI_ISL_9597163,AY.98.1
EPI_ISL_11223710,BA.1.1.1
EPI_ISL_13449798,XAE
EPI_ISL_11563367,BA.2
EPI_ISL_13085051,BA.2
EPI_ISL_12789179,BA.2
EPI_ISL_11586173,AY.43
EPI_ISL_11918988,BA.2
EPI_ISL_9155848,AY.43
EPI_ISL_12270602,BA.2
EPI_ISL_9156085,BA.2
EPI_ISL_11995574,BA.2
EPI_ISL_13085901,BA.2
EPI_ISL_12995580,BA.2
EPI_ISL_9317219,AY.43
EPI_ISL_13085315,BA.2
EPI_ISL_11563411,BA.2
EPI_ISL_12322436,BA.2.18
EPI_ISL_13283533,BA.2
EPI_ISL_13069724,BA.2
EPI_ISL_12248924,BA.2.9.3
EPI_ISL_13085190,BA.2
EPI_ISL_12322432,BA.2.9
EPI_ISL_12248937,BA.2
EPI_ISL_12029556,BA.1
EPI_ISL_12029547,BA.2
EPI_ISL_9602950,BA.2
EPI_ISL_9245676,BA.2
EPI_ISL_10358414,BA.2
EPI_ISL_11278974,BA.2
EPI_ISL_11840925,B.1.617.2
EPI_ISL_11273522,AY.43
EPI_ISL_12223819,AY.43
EPI_ISL_10717733,AY.43
